Shift,Worker,Product Produced,Amount Produced,Working Time (Minutes)
2,210047,Hard Drive,19,28
2,210187,Mouse,23,25
2,210187,Mouse,24,29
2,210532,Monitor,25,28
2,210532,Hard Drive,24,27
2,210047,Hard Drive,23,29
2,210047,Mouse,22,25
2,210976,Keyboard,19,29
2,210187,Keyboard,23,28
2,210532,Mouse,22,30
2,210976,Hard Drive,21,28
2,210047,Keyboard,20,27
2,210976,Hard Drive,19,30
2,210187,Mouse,18,29
2,210976,Mouse,21,28
2,210187,Monitor,23,27
2,210976,Hard Drive,24,31
2,210047,Hard Drive,21,30
2,210532,Mouse,20,27
2,210187,Keyboard,19,26
2,210976,Keyboard,18,25
2,210047,Mouse,23,28
2,210187,Hard Drive,22,27
2,210532,Keyboard,21,29
2,210187,Hard Drive,24,27
2,210047,Mouse,23,26
2,210532,Mouse,24,28
2,210187,Monitor,24,25
2,210976,Hard Drive,19,29
2,210047,Hard Drive,19,28
2,210187,Mouse,23,27
2,210532,Keyboard,24,29
2,210976,Keyboard,25,25
2,210047,Mouse,24,29
2,210187,Hard Drive,23,28
2,210047,Keyboard,22,30
2,210047,Hard Drive,19,28
2,210532,Mouse,23,27
2,210187,Keyboard,22,30
2,210976,Keyboard,21,29
2,210187,Mouse,20,28
2,210976,Hard Drive,19,27
2,210976,Keyboard,18,31
2,210047,Hard Drive,21,30
2,210187,Mouse,23,27
2,210187,Mouse,24,26
2,210532,Monitor,21,25
2,210532,Hard Drive,20,28
2,210047,Hard Drive,19,27
2,210047,Mouse,18,29
2,210976,Keyboard,23,27
2,210187,Keyboard,22,26
2,210532,Hard Drive,21,29
2,210976,Mouse,24,28
2,210047,Mouse,23,27
2,210976,Monitor,24,31
2,210187,Hard Drive,24,30
2,210976,Hard Drive,19,27
2,210187,Mouse,19,26
2,210976,Keyboard,23,25
2,210047,Keyboard,24,28
2,210532,Mouse,25,27
2,210187,Hard Drive,24,29
2,210976,Keyboard,23,27
2,210047,Hard Drive,22,26
2,210187,Mouse,19,28
2,210532,Mouse,23,25
2,210187,Monitor,22,29
2,210047,Hard Drive,21,28
2,210532,Hard Drive,20,27
2,210187,Mouse,19,29
2,210976,Keyboard,18,25
2,210047,Keyboard,21,29
2,210187,Mouse,23,28
2,210532,Hard Drive,24,30
2,210976,Keyboard,21,28
2,210047,Hard Drive,20,27
2,210187,Mouse,19,30
2,210047,Keyboard,18,29
2,210047,Keyboard,23,28
2,210532,Mouse,22,27
2,210187,Hard Drive,21,28
2,210976,Keyboard,24,25
2,210187,Hard Drive,23,29
2,210976,Mouse,24,28
2,210976,Mouse,24,27
2,210047,Monitor,19,29
2,210187,Hard Drive,19,25
2,210187,Hard Drive,23,29
2,210532,Mouse,24,28
2,210532,Mouse,25,30
2,210047,Monitor,24,28
2,210047,Hard Drive,23,27
2,210976,Hard Drive,22,30
2,210187,Mouse,19,29
2,210532,Keyboard,23,28
2,210976,Keyboard,22,27
2,210047,Mouse,21,31
2,210976,Hard Drive,20,30
2,210187,Keyboard,19,27
2,210976,Hard Drive,18,26
2,210187,Mouse,21,25
2,210976,Mouse,23,28
2,210047,Monitor,24,27
2,210532,Hard Drive,21,29
2,210187,Hard Drive,20,27
2,210976,Mouse,19,26
2,210047,Keyboard,18,28
2,210187,Keyboard,23,25
2,210532,Mouse,22,29
2,210187,Hard Drive,21,28
2,210047,Keyboard,24,27
2,210532,Hard Drive,23,29
2,210187,Mouse,24,25
2,210976,Mouse,24,29
2,210047,Monitor,19,28
2,210187,Hard Drive,25,30
2,210532,Hard Drive,24,28
2,210976,Mouse,23,27
2,210047,Keyboard,22,30
2,210187,Keyboard,19,29
2,210047,Mouse,23,28
2,210047,Hard Drive,22,27
2,210532,Keyboard,21,31
2,210187,Hard Drive,20,30
2,210976,Mouse,19,27
2,210187,Keyboard,18,26
2,210976,Keyboard,21,25
2,210976,Mouse,23,28
2,210047,Hard Drive,24,27
2,210187,Keyboard,21,29
2,210187,Hard Drive,20,27
2,210532,Mouse,19,26
2,210532,Mouse,18,29
2,210047,Monitor,23,28
2,210047,Hard Drive,22,27
2,210976,Hard Drive,21,31
2,210187,Mouse,24,30
2,210532,Keyboard,23,27
2,210976,Keyboard,24,26
2,210047,Hard Drive,24,25
2,210976,Mouse,19,28
2,210187,Mouse,19,27
2,210976,Monitor,23,29
2,210187,Hard Drive,24,27
2,210976,Hard Drive,25,26
2,210047,Mouse,24,28
2,210532,Keyboard,23,25
2,210187,Keyboard,22,29
2,210976,Mouse,19,28
2,210047,Hard Drive,23,27
2,210187,Keyboard,22,29
2,210532,Hard Drive,21,25
2,210187,Mouse,20,29
2,210047,Mouse,19,28
2,210532,Monitor,18,30
2,210187,Hard Drive,21,28
2,210976,Hard Drive,23,27
2,210047,Mouse,24,30
2,210187,Keyboard,21,29
2,210532,Keyboard,20,28
2,210976,Mouse,19,27
2,210047,Hard Drive,18,28
2,210187,Keyboard,23,25
2,210047,Hard Drive,22,29
2,210047,Mouse,21,28
2,210532,Keyboard,24,27
2,210187,Keyboard,23,29
2,210976,Mouse,24,25
2,210187,Hard Drive,24,29
2,210976,Keyboard,19,28
2,210976,Hard Drive,19,30
2,210047,Mouse,23,28
2,210187,Mouse,24,27
2,210187,Monitor,25,30
2,210532,Hard Drive,24,29
2,210532,Hard Drive,23,28
2,210047,Mouse,22,27
2,210047,Mouse,19,31
2,210976,Monitor,23,30
2,210187,Hard Drive,22,27
2,210532,Hard Drive,21,26
2,210976,Mouse,20,25
2,210047,Keyboard,19,28
2,210976,Keyboard,18,27
2,210187,Mouse,21,29
2,210976,Hard Drive,23,27
2,210187,Keyboard,24,26
2,210976,Hard Drive,21,28
2,210047,Mouse,20,25
2,210532,Mouse,19,29
2,210187,Monitor,18,28
2,210976,Hard Drive,23,27
2,210047,Hard Drive,22,29
2,210187,Mouse,21,25
2,210532,Keyboard,24,29
2,210187,Keyboard,23,28
